MOM_ID	SAS_ID	PROJECT	PREDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	STORAGE_MANAGER	SPACE_USED	CHANNELWIDTH	MAX_EXPOSURE	MIN_EXPOSURE	NR_CORRELATED
530187	351020	LC4_007	530089	350824	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530189	351024	LC4_007	530090	350826	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530191	351028	LC4_007	530091	350828	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530193	351032	LC4_007	530092	350830	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530195	351036	LC4_007	530093	350832	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530197	401301	LC4_007	530094	350834	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530199	401305	LC4_007	530095	350836	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530201	351048	LC4_007	530096	350838	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530203	351052	LC4_007	530097	350840	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530205	401019	LC4_007	530098	350842	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530207	351060	LC4_007	530099	350844	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530209	351064	LC4_007	530100	350846	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530211	351068	LC4_007	530101	350848	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530213	351072	LC4_007	530102	350850	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
574732	367874	LC4_007	574676	367762	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574734	367878	LC4_007	574677	367764	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574736	367882	LC4_007	574678	367766	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574738	367886	LC4_007	574679	367768	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574740	367890	LC4_007	574680	367770	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574742	367894	LC4_007	574681	367772	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574744	367898	LC4_007	574682	367774	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574746	367902	LC4_007	574683	367776	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574748	367906	LC4_007	574684	367778	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574750	367910	LC4_007	574685	367780	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574752	367914	LC4_007	574686	367782	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574754	367918	LC4_007	574687	400059	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574756	367922	LC4_007	574688	400057	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574758	367926	LC4_007	574689	400055	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574760	367930	LC4_007	574690	400053	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574762	367934	LC4_007	574691	400051	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574764	367938	LC4_007	574692	367794	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574766	367942	LC4_007	574693	367796	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574768	367946	LC4_007	574694	367798	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574770	367950	LC4_007	574695	367800	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574772	367954	LC4_007	574696	367802	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574774	367958	LC4_007	574697	367804	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574776	367962	LC4_007	574698	367806	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574778	367966	LC4_007	574699	367808	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574780	367970	LC4_007	574700	367810	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574782	367974	LC4_007	574701	367812	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574784	367978	LC4_007	574702	367814	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574786	367982	LC4_007	574703	367816	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574788	367986	LC4_007	574704	367818	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574790	367990	LC4_007	574705	367820	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574792	367994	LC4_007	574706	367822	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574794	367998	LC4_007	574707	367824	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574796	368002	LC4_007	574708	367826	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574798	368006	LC4_007	574709	367828	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574800	368010	LC4_007	574710	367830	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574802	368014	LC4_007	574711	367832	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574804	368018	LC4_007	574712	367834	CasaStorageManagers	0.00224239616	48828.125	1802.0	1802.0	8
574806	368022	LC4_007	574713	367836	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574808	368026	LC4_007	574714	367838	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574810	368030	LC4_007	574715	367840	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
