SAS_ID	PROJECT	PREDDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	PREDECESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	FREQ_RES	TIME_RES	CHANNEL_WIDTH	CLOCK	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	DEMIXING
239624	LC2_034	417023	417023	Beam Observation - 110-190 MHz	CasaStorageManagers	0.01894325248	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	366	1
239626	LC2_034	417023	417023	Beam Observation - 110-190 MHz	CasaStorageManagers	0.00522750976	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	101	1
239628	LC2_034	417028	417028	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0020471808	2.7738216666699998E+002	4.87463888889E+001	0	48828.124992	10.0139	3051.757812	200	88	88	HBA Dual Inner	34	0	357	1
239630	LC2_034	417031	417031	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0186848768	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	361	1
239632	LC2_034	417031	417031	Beam Observation - 110-190 MHz	CasaStorageManagers	0.00517695488	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	100	1
239538	LC2_034	416908	416908	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0020987904	2.7738216666699998E+002	4.87463888889E+001	0	48828.124992	10.0139	3051.757812	200	88	88	HBA Dual Inner	34	0	366	1
239540	LC2_034	416911	416911	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0189441024	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	366	1
239542	LC2_034	416911	416911	Beam Observation - 110-190 MHz	CasaStorageManagers	0.00538473472	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	104	1
239544	LC2_034	416916	416916	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0020987904	2.7738216666699998E+002	4.87463888889E+001	0	48828.124992	10.0139	3051.757812	200	88	88	HBA Dual Inner	34	0	366	1
242266	LC2_036	421649	421649	Beam Observation - 110-190 MHz	CasaStorageManagers	0.02284433408	2.1283549500000001E+002	5.2202770000000001E+001	0	195312.499968	2.013266	762.939453	200	899	899	HBA Dual Inner	37	0	242	1
242268	LC2_036	421653	421653	Beam Observation - 110-190 MHz	CasaStorageManagers	0.38500779008	2.8207720833299999E+002,2.8945291666700001E+002	-1.77E+000,6.3561111111099997E+000	0,1	195312.499968	2.013266	762.939453	200	15298	15298	HBA Dual Inner	37	0	244	1
242270	LC2_036	421653	421653	Beam Observation - 110-190 MHz	CasaStorageManagers	0.38497660928	2.8207720833299999E+002,2.8945291666700001E+002	-1.77E+000,6.3561111111099997E+000	0,1	195312.499968	2.013266	762.939453	200	15298	15298	HBA Dual Inner	37	0	244	1
242272	LC2_036	421659	421659	Beam Observation - 110-190 MHz	CasaStorageManagers	0.02303143936	2.44220808E+001	3.3159759399999999E+001	0	195312.499968	2.013266	762.939453	200	899	899	HBA Dual Inner	37	0	244	1
242464	LC2_036	421896	421896	Beam Observation - 110-190 MHz	CasaStorageManagers	0.02303322112	2.1283549500000001E+002	5.2202770000000001E+001	0	195312.499968	2.013266	762.939453	200	899	899	HBA Dual Inner	37	0	244	1
242466	LC2_036	421900	421900	Beam Observation - 110-190 MHz	CasaStorageManagers	0.38341774336	2.8207720833299999E+002,2.8945291666700001E+002	-1.77E+000,6.3561111111099997E+000	0,1	195312.499968	2.013266	762.939453	200	15298	15298	HBA Dual Inner	37	0	243	1
242468	LC2_036	421900	421900	Beam Observation - 110-190 MHz	CasaStorageManagers	0.38498960384	2.8207720833299999E+002,2.8945291666700001E+002	-1.77E+000,6.3561111111099997E+000	0,1	195312.499968	2.013266	762.939453	200	15298	15298	HBA Dual Inner	37	0	244	1
242470	LC2_036	421906	421906	Beam Observation - 110-190 MHz	CasaStorageManagers	0.02303219712	2.44220808E+001	3.3159759399999999E+001	0	195312.499968	2.013266	762.939453	200	899	899	HBA Dual Inner	37	0	244	1
245243	LC1_014	431048	431048	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0953009664	1.2340000000000001E+002	4.8217388888899997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245245	LC1_014	431052	431052	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530202112	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245247	LC1_014	431056	431056	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530083328	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245249	LC1_014	431060	431060	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530025984	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
