MOM_ID	SAS_ID	PROJECT	PREDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	STORAGE_MANAGER	SPACE_USED	CHANNELWIDTH	MAX_EXPOSURE	MIN_EXPOSURE	NR_CORRELATED
530188	400777	LC4_007	530187	351020	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530190	400795	LC4_007	530189	351024	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530192	400793	LC4_007	530191	351028	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530194	400791	LC4_007	530193	351032	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530196	400789	LC4_007	530195	351036	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530198	400787	LC4_007	530197	401301	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530200	400785	LC4_007	530199	401305	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530202	400783	LC4_007	530201	351048	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530204	400775	LC4_007	530203	351052	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530206	400773	LC4_007	530205	401019	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530208	400771	LC4_007	530207	351060	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530210	400769	LC4_007	530209	351064	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530212	400767	LC4_007	530211	351068	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530214	400765	LC4_007	530213	351072	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
574733	367876	LC4_007	574732	367874	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574735	367880	LC4_007	574734	367878	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574737	367884	LC4_007	574736	367882	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574739	367888	LC4_007	574738	367886	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574741	367892	LC4_007	574740	367890	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574743	367896	LC4_007	574742	367894	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574745	367900	LC4_007	574744	367898	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574747	367904	LC4_007	574746	367902	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574749	367908	LC4_007	574748	367906	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574751	367912	LC4_007	574750	367910	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574753	367916	LC4_007	574752	367914	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574755	367920	LC4_007	574754	367918	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574757	367924	LC4_007	574756	367922	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574759	367928	LC4_007	574758	367926	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574761	367932	LC4_007	574760	367930	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574763	367936	LC4_007	574762	367934	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574765	367940	LC4_007	574764	367938	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574767	367944	LC4_007	574766	367942	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574769	367948	LC4_007	574768	367946	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574771	367952	LC4_007	574770	367950	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574773	367956	LC4_007	574772	367954	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574775	367960	LC4_007	574774	367958	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574777	367964	LC4_007	574776	367962	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574779	367968	LC4_007	574778	367966	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574781	367972	LC4_007	574780	367970	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574783	367976	LC4_007	574782	367974	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574785	367980	LC4_007	574784	367978	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574787	367984	LC4_007	574786	367982	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574789	367988	LC4_007	574788	367986	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574791	367992	LC4_007	574790	367990	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574793	367996	LC4_007	574792	367994	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574795	368000	LC4_007	574794	367998	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574797	368004	LC4_007	574796	368002	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574799	368008	LC4_007	574798	368006	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574801	368012	LC4_007	574800	368010	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574807	368024	LC4_007	574806	368022	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574809	368028	LC4_007	574808	368026	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574811	368032	LC4_007	574810	368030	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574813	368036	LC4_007	574812	368034	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574815	368040	LC4_007	574814	368038	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574817	368044	LC4_007	574816	368042	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574819	368048	LC4_007	574818	368046	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574821	368052	LC4_007	574820	368050	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574823	368056	LC4_007	574822	368054	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574825	368060	LC4_007	574824	368058	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574827	368064	LC4_007	574826	368062	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574829	368068	LC4_007	574828	368066	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574831	368072	LC4_007	574830	368070	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574833	368076	LC4_007	574832	368074	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574835	368080	LC4_007	574834	368078	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574837	368084	LC4_007	574836	368082	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574839	368088	LC4_007	574838	368086	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574982	372606	LC4_007	574981	372604	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
574984	372610	LC4_007	574983	372608	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
574986	372614	LC4_007	574985	372612	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
574988	372618	LC4_007	574987	372616	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
574990	372622	LC4_007	574989	372620	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
574992	372626	LC4_007	574991	372624	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
574994	372630	LC4_007	574993	372628	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
574996	372634	LC4_007	574995	372632	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
574998	372638	LC4_007	574997	372636	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575000	372642	LC4_007	574999	372640	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
