MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset
936035	700283	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,869218509	1,28516708333E+001,8,3633083333300007E+001	5,5050749999999997E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7199	7199,0	LBA Outer	36	0	120	0,4859968123	1079,85	4679,35	35,995
936040	700287	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822706299	1,2927362499999999E+001,8,3633083333300007E+001	5,5369944444400003E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,4739036377	1052,85	4562,35	35,095
936045	700291	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,3002791666699999E+001,8,3633083333300007E+001	5,5688805555599998E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
936050	700295	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,3002791666699999E+001,8,3633083333300007E+001	5,5688805555599998E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
936055	700299	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,3153554166699999E+001,8,3633083333300007E+001	5,6324944444399998E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
936060	700303	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,3229283333300002E+001,8,3633083333300007E+001	5,6642388888899999E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
936410	700501	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,868583926	1,37649958333E+001,8,3633083333300007E+001	5,8865916666700002E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7199	7199,0	LBA Outer	36	0	120	0,4858318207	1079,85	4679,35	35,995
936415	700505	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822691779	1,3840741666700001E+001,8,3633083333300007E+001	5,9183750000000002E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,4738998624	1052,85	4562,35	35,095
936420	700509	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,3916220833300001E+001,8,3633083333300007E+001	5,9501194444400003E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
936425	700513	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,39916E+001,8,3633083333300007E+001	5,9818111111099999E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
936430	700517	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,4067095833300002E+001,8,3633083333300007E+001	6,0134527777800004E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
936435	700521	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,4142887499999999E+001,8,3633083333300007E+001	6,04504722222E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
936793	700633	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,869228687	1,4679020833300001E+001,8,3633083333300007E+001	6,2663888888899999E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7199	7199,0	LBA Outer	36	0	120	0,4859994587	1079,85	4679,35	35,995
936986	700765	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,869350656	1,5593816666700002E+001,8,3633083333300007E+001	6,6443777777800008E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7199	7199,0	LBA Outer	36	0	120	0,4860311706	1079,85	4679,35	35,995
938430	701155	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,869215621	1,6888312499999998E+001,8,3633083333300007E+001	7,1765388888899997E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7199	7199,0	LBA Outer	36	0	120	0,4859960615	1079,85	4679,35	35,995
936798	700637	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,47548291667E+001,8,3633083333300007E+001	6,2980333333299994E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
938435	701159	LT10_002	Beam Observation - 110-190 MHz				LofarStorageManager	5,002553078	1,6888308333300003E+001,8,3633083333300007E+001	7,1765361111100008E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	HBA Dual Inner	36	0	120	1,3006638	1052,85	4562,35	152,0783333
936803	700641	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,48303666667E+001,8,3633083333300007E+001	6,3296305555599996E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
938440	701163	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,822720819	1,6888304166699999E+001,8,3633083333300007E+001	7,1765361111100008E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7019	7019,0	LBA Outer	36	0	120	0,473907413	1052,85	4562,35	35,095
937791	700901	LT10_002	Beam Observation - 10-90 MHz				LofarStorageManager	1,868716104	1,6509441666699995E+001,8,3633083333300007E+001	7,0204472222200005E+000,2,2014500000000002E+001	0,1	0	200	0,167772	7199	7199,0	LBA Outer	36	0	120	0,485866187	1079,85	4679,35	35,995
