MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset
440275	250024	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	1,737516114	8,57E+01	4,99E+01	0	0	200	2,013266	899	899	HBA Dual Inner	37	0	244	0,4517541896	179,8	629,3	42,65255556
446100	251286	LC2_036	Beam Observation - 10-90 MHz				LofarStorageManager	45,36686747	6.4223708333299996E+001,1.2340020833299999E+002	5.1723944444399997E+001,4.8217305555599999E+001	0,1	0	200	1,006633	15299	15299	LBA Outer	37	0	488	16,33207229	1912,375	11091,775	259,2330556
449747	253292	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	1,737516114	8,57E+01	4,99E+01	0	0	200	2,013266	899	899	HBA Dual Inner	37	0	244	0,4517541896	179,8	629,3	42,65255556
449751	253294	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	118,1375553	6.4223708333299996E+001,6.9746208333300004E+001	5.1723944444399997E+001,4.8812777777800001E+001	0,1	0	200	2,013266	30599	30599	HBA Dual Inner	37	0	488	42,52951989	4972,3375	21036,8125	2851,656806
449757	253296	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	1,737516114	8,57E+01	4,99E+01	0	0	200	2,013266	899	899	HBA Dual Inner	37	0	244	0,4517541896	179,8	629,3	42,65255556
415738	238722	Commissioning2014	Beam Observation - 110-190 MHz				LofarStorageManager	0,093316096	2,77E+02	4,87E+01	0	0	200	1,00139	599	599	HBA Dual Inner	33	0	51	0,02426218496	119,8	419,3	5,940083333
415741	238724	Commissioning2014	Beam Observation - 110-190 MHz				LofarStorageManager	1,119736832	2.5593125000000001E+002,2.6259079166700002E+002	7.8717500000000001E+001,7.9821388888900003E+001	0,1	0	200	1,00139	3599	3599	HBA Dual Inner	33	0	102	0,2911315763	719,8	2519,3	71,38016667
415745	238726	Commissioning2014	Beam Observation - 110-190 MHz				LofarStorageManager	0,093316096	2,77E+02	4,87E+01	0	0	200	1,00139	599	599	HBA Dual Inner	33	0	51	0,02426218496	119,8	419,3	5,940083333
440171	249986	Commissioning2014	Beam Observation - 110-190 MHz				LofarStorageManager	1,164618793	2,77E+02	4,87E+01	0	0	200	1,00139	599	599	HBA Dual Inner	37	0	488	0,3028008862	119,8	419,3	56,83844444
440174	249988	Commissioning2014	Beam Observation - 10-90 MHz				LofarStorageManager	0,4477169664	2,77E+02	4,87E+01	0	0	200	1,00139	599	599	LBA Outer	37	0	488	0,1164064113	119,8	419,3	16,23955556
